"name","zipcode","addresse","LocName","latitude","longitude","iConf","iLvl"
"居木神社","141-0032","東京都品川区大崎3-8-20","東京都/品川区/大崎/三丁目/８番","139.72517","35.61982","5","7"
"荏原金刀比羅神社","142-0063","東京都品川区荏原1-16-4","東京都/品川区/荏原/一丁目/１６番","139.71642","35.61942","5","7"
"荏原神社【天王社】","140-0001","東京都品川区北品川2-30-28","東京都/品川区/北品川/二丁目/３０番","139.74364","35.61722","5","7"
"鹿嶋神社","140-0014","東京都品川区大井6-18-36","東京都/品川区/大井/六丁目/１８番","139.73033","35.59570","5","7"
"雉子神社【雉の宮】","141-0022","東京都品川区東五反田1-2-33","東京都/品川区/東五反田/一丁目/２番","139.72740","35.62880","5","7"
"貴船神社","141-0033","東京都品川区西品川3-16-31","東京都/品川区/西品川/三丁目/１６番","139.72617","35.61505","5","7"
"三谷八幡神社","142-0062","東京都品川区小山5-8-7","東京都/品川区/小山/五丁目/８番","139.70239","35.61706","5","7"
"品川神社【北の天王社】","140-0001","東京都品川区北品川3-7-15","東京都/品川区/北品川/三丁目/７番","139.73920","35.61713","5","7"
"天祖・諏訪神社","140-0013","東京都品川区南大井1-4-1","東京都/品川区/南大井/一丁目/４番","139.73868","35.59692","5","7"
"天祖神社【神明さま】","142-0043","東京都品川区二葉4-4-12","東京都/品川区/二葉/四丁目/４番","139.71535","35.60279","5","7"
"天祖神社【神明さま】","142-0043","東京都品川区二葉1-3-24","東京都/品川区/二葉/一丁目/３番","139.72572","35.60691","5","7"
"旗岡八幡神社","142-0064","東京都品川区旗の台3-6-12","東京都/品川区/旗の台/三丁目/６番","139.70789","35.60450","5","7"
"八幡神社【鮫洲八幡神社】","140-0011","東京都品川区東大井1-20-10","東京都/品川区/東大井/一丁目/２０番","139.74226","35.60467","5","7"
"八幡神社【戸越八幡神社】","142-0041","東京都品川区戸越2-6-23","東京都/品川区/戸越/二丁目/６番","139.71948","35.61322","5","7"
"八幡神社【小山八幡神社】","142-0063","東京都品川区荏原7-5-14","東京都/品川区/荏原/七丁目/５番","139.69928","35.61241","5","7"
"氷川神社","141-0031","東京都品川区西五反田5-6-3","東京都/品川区/西五反田/五丁目/６番","139.71558","35.62434","5","7"
"稲荷神社【十日森稲荷神社】","152-0001","東京都目黒区中央町2-17-15","東京都/目黒区/中央町/二丁目/１７番","139.68930","35.63317","5","7"
"稲荷神社【烏森稲荷神社】","153-0051","東京都目黒区上目黒3-39-14","東京都/目黒区/上目黒/三丁目/３９番","139.69244","35.64309","5","7"
